type,length_of_arr,no_compares,no_swaps,time
insert,100,2779,2776,0.003148317337036133
merge,100,605,529,0.001001119613647461
quick,100,515,658,0.0009224414825439453
dual_quick,100,417,534,0.0008156299591064453
hybrid,100,684,666,0.0008928775787353516
insert,100,2635,2629,0.0030426979064941406
merge,100,625,538,0.0011265277862548828
quick,100,544,701,0.0009744167327880859
dual_quick,100,468,530,0.0008780956268310547
hybrid,100,690,663,0.0008664131164550781
insert,100,2679,2674,0.0030896663665771484
merge,100,625,541,0.0010159015655517578
quick,100,518,700,0.0009469985961914062
dual_quick,100,407,542,0.0008122920989990234
hybrid,100,696,668,0.0009038448333740234
insert,100,2701,2697,0.0032813549041748047
merge,100,612,537,0.0010170936584472656
quick,100,525,697,0.001699686050415039
dual_quick,100,498,550,0.0015664100646972656
hybrid,100,656,633,0.0015375614166259766
insert,100,2552,2548,0.0029082298278808594
merge,100,629,543,0.0010433197021484375
quick,100,467,683,0.0008637905120849609
dual_quick,100,378,537,0.00081634521484375
hybrid,100,681,652,0.0008549690246582031
insert,200,10205,10197,0.011884450912475586
merge,200,1453,1290,0.002489805221557617
quick,200,1167,1602,0.002003908157348633
dual_quick,200,891,1506,0.001903533935546875
hybrid,200,1523,1475,0.002002716064453125
insert,200,10378,10368,0.01999187469482422
merge,200,1432,1295,0.004203081130981445
quick,200,1269,1758,0.003934144973754883
dual_quick,200,1084,1632,0.0038051605224609375
hybrid,200,1527,1486,0.0036449432373046875
insert,200,10124,10121,0.021820545196533203
merge,200,1451,1283,0.0042002201080322266
quick,200,1194,1670,0.0038177967071533203
dual_quick,200,1089,1306,0.003306865692138672
hybrid,200,1588,1539,0.003750324249267578
insert,200,10421,10416,0.022455215454101562
merge,200,1439,1290,0.004207611083984375
quick,200,1329,1776,0.004094123840332031
dual_quick,200,945,1346,0.0032358169555664062
hybrid,200,1509,1467,0.0022873878479003906
insert,200,10346,10340,0.012036561965942383
merge,200,1433,1297,0.002344846725463867
quick,200,1278,1546,0.00213623046875
dual_quick,200,1069,1342,0.0023910999298095703
hybrid,200,1496,1454,0.001969575881958008
insert,300,23575,23567,0.030544519424438477
merge,300,2336,2093,0.003748655319213867
quick,300,1708,2612,0.005301237106323242
dual_quick,300,1466,2153,0.003066539764404297
hybrid,300,2855,2788,0.0036165714263916016
insert,300,23224,23218,0.02764725685119629
merge,300,2324,2098,0.005826711654663086
quick,300,1801,2543,0.0035772323608398438
dual_quick,300,1549,2210,0.0030426979064941406
hybrid,300,2806,2727,0.003924846649169922
insert,300,20939,20934,0.028425931930541992
merge,300,2306,2109,0.003766775131225586
quick,300,1832,2921,0.0050563812255859375
dual_quick,300,1529,2255,0.002987384796142578
hybrid,300,2835,2780,0.0035982131958007812
insert,300,22995,22989,0.033171653747558594
merge,300,2337,2087,0.004253387451171875
quick,300,1908,2686,0.003384113311767578
dual_quick,300,1451,2490,0.0030596256256103516
hybrid,300,2720,2658,0.003484964370727539
insert,300,21145,21139,0.030329227447509766
merge,300,2307,2088,0.0070378780364990234
quick,300,1900,2748,0.009984254837036133
dual_quick,300,1724,2216,0.005872488021850586
hybrid,300,2657,2606,0.006521701812744141
insert,400,41855,41850,0.09108781814575195
merge,400,3238,2943,0.009974479675292969
quick,400,2540,3814,0.009502649307250977
dual_quick,400,2063,3098,0.008582353591918945
hybrid,400,3447,3376,0.007775783538818359
insert,400,40816,40811,0.05189013481140137
merge,400,3262,2949,0.0052852630615234375
quick,400,2833,4015,0.0048122406005859375
dual_quick,400,2098,3311,0.0049839019775390625
hybrid,400,3532,3444,0.006360054016113281
insert,400,39631,39624,0.0508265495300293
merge,400,3259,2955,0.0052378177642822266
quick,400,2295,3919,0.004380941390991211
dual_quick,400,2216,2974,0.004102468490600586
hybrid,400,3526,3434,0.004645347595214844
insert,400,40938,40933,0.05366659164428711
merge,400,3272,2945,0.005253314971923828
quick,400,2706,3887,0.0046923160552978516
dual_quick,400,2160,3445,0.004826784133911133
hybrid,400,3511,3409,0.004626035690307617
insert,400,40331,40329,0.05002427101135254
merge,400,3250,2970,0.005242586135864258
quick,400,2999,3998,0.004876852035522461
dual_quick,400,2078,3041,0.004761695861816406
hybrid,400,3444,3343,0.006711006164550781
insert,500,62943,62935,0.07405877113342285
merge,500,4184,3840,0.006763458251953125
quick,500,3550,5097,0.006157875061035156
dual_quick,500,2704,4363,0.005452156066894531
hybrid,500,4804,4700,0.006468057632446289
insert,500,62445,62438,0.07555723190307617
merge,500,4174,3864,0.00677490234375
quick,500,3413,4964,0.006034135818481445
dual_quick,500,2583,4132,0.005357027053833008
hybrid,500,4706,4605,0.006429195404052734
insert,500,63261,63253,0.07282733917236328
merge,500,4160,3865,0.006711006164550781
quick,500,3290,4851,0.005740165710449219
dual_quick,500,2424,4435,0.005615949630737305
hybrid,500,4675,4565,0.006424665451049805
insert,500,65886,65879,0.08124375343322754
merge,500,4180,3849,0.006734371185302734
quick,500,3771,5193,0.006905794143676758
dual_quick,500,3052,4111,0.005710601806640625
hybrid,500,4807,4700,0.006254911422729492
insert,500,59353,59347,0.07055091857910156
merge,500,4193,3865,0.0068166255950927734
quick,500,3369,5171,0.006628274917602539
dual_quick,500,2587,4050,0.0052835941314697266
hybrid,500,4763,4678,0.00886845588684082
insert,600,86687,86677,0.10241389274597168
merge,600,5251,4797,0.008387088775634766
quick,600,4166,6787,0.0076181888580322266
dual_quick,600,3321,5205,0.006494998931884766
hybrid,600,6177,6063,0.008212804794311523
insert,600,86063,86057,0.10183095932006836
merge,600,5259,4804,0.008373498916625977
quick,600,4649,6656,0.008442163467407227
dual_quick,600,3614,5026,0.006530284881591797
hybrid,600,6093,5998,0.008072376251220703
insert,600,89229,89226,0.10607123374938965
merge,600,5231,4787,0.010873079299926758
quick,600,4044,5812,0.006989717483520508
dual_quick,600,3657,5372,0.0070497989654541016
hybrid,600,6029,5917,0.00803065299987793
insert,600,93129,93119,0.11060333251953125
merge,600,5225,4775,0.008299589157104492
quick,600,3950,5980,0.007044315338134766
dual_quick,600,3215,5295,0.006761312484741211
hybrid,600,6152,6020,0.008023262023925781
insert,600,90398,90390,0.10495257377624512
merge,600,5259,4812,0.00839090347290039
quick,600,4218,6359,0.007591724395751953
dual_quick,600,3715,5679,0.007081508636474609
hybrid,600,6324,6225,0.008895635604858398
insert,700,125808,125806,0.15202784538269043
merge,700,6285,5720,0.010139703750610352
quick,700,4724,7297,0.009387493133544922
dual_quick,700,4541,5953,0.010987520217895508
hybrid,700,7910,7781,0.012103557586669922
insert,700,120949,120943,0.13976192474365234
merge,700,6293,5745,0.009974479675292969
quick,700,4611,7290,0.008881092071533203
dual_quick,700,3874,6228,0.00816798210144043
hybrid,700,7685,7583,0.012519121170043945
insert,700,123801,123799,0.14260530471801758
merge,700,6297,5767,0.010038614273071289
quick,700,4949,8444,0.00919795036315918
dual_quick,700,4250,6417,0.008342981338500977
hybrid,700,7795,7683,0.010200023651123047
insert,700,122315,122309,0.1594400405883789
merge,700,6336,5747,0.010081768035888672
quick,700,6370,8645,0.010942697525024414
dual_quick,700,4550,6679,0.011349201202392578
hybrid,700,7958,7855,0.0107421875
insert,700,121981,121976,0.1678929328918457
merge,700,6287,5758,0.019369840621948242
quick,700,4679,7091,0.015983104705810547
dual_quick,700,4811,7031,0.016765356063842773
hybrid,700,7732,7621,0.017877578735351562
insert,800,166001,165992,0.2613258361816406
merge,800,7354,6753,0.021370410919189453
quick,800,6082,8573,0.0186312198638916
dual_quick,800,4498,7546,0.015058279037475586
hybrid,800,7797,7600,0.010952949523925781
insert,800,169308,169301,0.2481679916381836
merge,800,7331,6735,0.011683940887451172
quick,800,5389,8405,0.00991678237915039
dual_quick,800,4380,7315,0.009782075881958008
hybrid,800,7630,7423,0.010091781616210938
insert,800,162376,162367,0.1944866180419922
merge,800,7320,6716,0.011783123016357422
quick,800,5941,8344,0.012312889099121094
dual_quick,800,4383,7069,0.009598731994628906
hybrid,800,7713,7512,0.01290440559387207
insert,800,159822,159817,0.18819117546081543
merge,800,7347,6714,0.011784076690673828
quick,800,7185,10618,0.014106273651123047
dual_quick,800,5178,7380,0.011186361312866211
hybrid,800,7733,7532,0.011774539947509766
insert,800,157490,157484,0.1860058307647705
merge,800,7324,6708,0.011748075485229492
