length_of_arr,no_compares,no_swaps,time
100,714,724,0.0017809867858886719
100,677,661,0.0016853809356689453
100,717,692,0.0016813278198242188
100,697,778,0.0018534660339355469
100,689,711,0.0017473697662353516
100,706,680,0.0017087459564208984
100,799,780,0.002004384994506836
100,691,642,0.0016171932220458984
100,670,758,0.0017902851104736328
100,721,717,0.0017969608306884766
100,727,708,0.0016989707946777344
100,751,718,0.0017971992492675781
100,701,688,0.0016658306121826172
100,637,745,0.0017044544219970703
100,715,765,0.001871347427368164
100,739,716,0.0018129348754882812
100,722,803,0.0018665790557861328
100,800,720,0.0018181800842285156
100,810,727,0.0018994808197021484
100,841,830,0.0020949840545654297
100,722,703,0.0016639232635498047
100,857,847,0.0021147727966308594
100,821,922,0.002210855484008789
100,760,711,0.0017957687377929688
100,746,809,0.0019156932830810547
100,932,956,0.002428293228149414
100,794,736,0.0019195079803466797
100,879,815,0.002151012420654297
100,834,793,0.0020024776458740234
100,747,735,0.0018157958984375
100,698,751,0.0017614364624023438
100,775,731,0.0017948150634765625
100,805,840,0.0020356178283691406
100,785,780,0.001971006393432617
100,718,708,0.0017991065979003906
100,821,802,0.002016305923461914
100,673,741,0.001714468002319336
100,861,789,0.0025115013122558594
100,793,745,0.0018992424011230469
100,747,740,0.0018775463104248047
100,676,695,0.0017552375793457031
100,734,773,0.0018644332885742188
100,827,771,0.0019617080688476562
100,706,733,0.0017824172973632812
100,686,662,0.0016102790832519531
100,750,698,0.0018546581268310547
100,863,827,0.002118825912475586
100,829,774,0.0020189285278320312
100,774,744,0.0019121170043945312
100,754,769,0.001909017562866211
200,1689,1794,0.004383563995361328
200,1622,1660,0.0040018558502197266
200,1813,1759,0.004552364349365234
200,1799,1849,0.00450444221496582
200,1832,2093,0.004896879196166992
200,1811,1862,0.00461268424987793
200,1748,2030,0.004689216613769531
200,1742,1935,0.004483938217163086
200,1688,1719,0.004362821578979492
200,1554,1682,0.00407862663269043
200,1715,1805,0.0042819976806640625
200,1558,1861,0.004197597503662109
200,1680,1661,0.0040743350982666016
200,1750,1855,0.004549980163574219
200,1617,1728,0.004225730895996094
200,1834,1855,0.004548549652099609
200,1735,1899,0.004522085189819336
200,1749,1739,0.004296064376831055
200,1447,1893,0.003983497619628906
200,1652,1723,0.004298686981201172
200,1683,1673,0.004088401794433594
200,1855,1977,0.0049190521240234375
200,1602,1790,0.0042841434478759766
200,1662,1706,0.004213094711303711
200,1512,1657,0.003750324249267578
200,1632,1714,0.004054069519042969
200,1704,1783,0.004366874694824219
200,1699,1716,0.004132270812988281
200,1708,1771,0.004409313201904297
200,1740,1689,0.00417017936706543
200,1771,1894,0.004563808441162109
200,1626,1734,0.00422358512878418
200,1896,1929,0.004857063293457031
200,1579,1725,0.004021883010864258
200,1792,1711,0.004318952560424805
200,1633,1640,0.003843545913696289
200,1924,1956,0.004938840866088867
200,1991,2248,0.005376338958740234
200,1587,1780,0.0041484832763671875
200,1670,1706,0.00403594970703125
200,1706,1763,0.004130363464355469
200,1609,1658,0.004099607467651367
200,1858,1938,0.00484156608581543
200,1855,2000,0.004785776138305664
200,1773,1704,0.004370927810668945
200,1652,2118,0.004632472991943359
200,1859,1891,0.004752159118652344
200,1641,1828,0.0043888092041015625
200,1816,1823,0.004442691802978516
200,1668,1665,0.004131793975830078
300,2758,2727,0.006975889205932617
300,2644,2968,0.0068857669830322266
300,2759,3015,0.007207393646240234
300,3072,3128,0.007576942443847656
300,2644,2943,0.0067670345306396484
300,2855,3144,0.007567882537841797
300,2714,3187,0.00739741325378418
300,2839,3254,0.007754325866699219
300,2567,2853,0.006498098373413086
300,2839,3202,0.0076868534088134766
300,2675,3125,0.00707554817199707
300,2769,2846,0.0072078704833984375
300,2803,3347,0.00770878791809082
300,2717,3028,0.007104158401489258
300,3006,3115,0.007664680480957031
300,2709,3116,0.00711822509765625
300,2549,3021,0.006971836090087891
300,2743,3100,0.00730133056640625
300,2909,3175,0.0076503753662109375
300,2590,2767,0.006501436233520508
300,2826,3019,0.0072307586669921875
300,2957,3160,0.0076177120208740234
300,2608,2945,0.006599903106689453
300,2656,2838,0.006868124008178711
300,2823,3330,0.007850408554077148
300,2564,2894,0.006848335266113281
