type,length_of_arr,no_compares,no_swaps,time
insert,100,2505,2503,0.0028243064880371094
merge,100,625,528,0.0010831356048583984
quick,100,318,586,0.0007550716400146484
dual_quick,100,447,588,0.0009150505065917969
hybrid,100,690,651,0.0008785724639892578
insert,100,2294,2294,0.002634763717651367
merge,100,620,552,0.0015101432800292969
quick,100,364,687,0.0011782646179199219
dual_quick,100,394,554,0.0014748573303222656
hybrid,100,647,620,0.0014498233795166016
insert,100,2633,2630,0.003823995590209961
merge,100,614,537,0.0011878013610839844
quick,100,349,719,0.000652313232421875
dual_quick,100,442,518,0.0008473396301269531
hybrid,100,660,642,0.0008432865142822266
insert,100,2706,2700,0.003252744674682617
merge,100,627,543,0.0013709068298339844
quick,100,494,702,0.0007584095001220703
dual_quick,100,411,570,0.0011372566223144531
hybrid,100,681,653,0.0018286705017089844
insert,100,2818,2815,0.00406646728515625
merge,100,618,540,0.001012563705444336
quick,100,517,741,0.0009067058563232422
dual_quick,100,493,524,0.0008721351623535156
hybrid,100,664,638,0.0008783340454101562
insert,200,10015,10010,0.016170978546142578
merge,200,1448,1287,0.0042455196380615234
quick,200,794,1434,0.0025377273559570312
dual_quick,200,946,1283,0.002135753631591797
hybrid,200,1553,1519,0.0030884742736816406
insert,200,9657,9653,0.020122289657592773
merge,200,1453,1290,0.0023872852325439453
quick,200,748,1326,0.0012850761413574219
dual_quick,200,1031,1380,0.0027136802673339844
hybrid,200,1563,1507,0.0020694732666015625
insert,200,10057,10055,0.014052629470825195
merge,200,1448,1293,0.002374410629272461
quick,200,877,1470,0.0014417171478271484
dual_quick,200,910,1288,0.001756429672241211
hybrid,200,1607,1559,0.0020720958709716797
insert,200,9857,9851,0.012502193450927734
merge,200,1434,1282,0.0026443004608154297
quick,200,818,1583,0.0014314651489257812
dual_quick,200,965,1378,0.002043485641479492
hybrid,200,1531,1472,0.0021674633026123047
insert,200,9916,9909,0.012612581253051758
merge,200,1438,1273,0.0023179054260253906
quick,200,848,1484,0.0016231536865234375
dual_quick,200,933,1432,0.0019278526306152344
hybrid,200,1566,1520,0.0022802352905273438
insert,300,23202,23194,0.028795719146728516
merge,300,2329,2088,0.0065212249755859375
quick,300,1672,2567,0.0026459693908691406
dual_quick,300,1739,2234,0.0032253265380859375
hybrid,300,2873,2822,0.0036323070526123047
insert,300,23259,23254,0.04036092758178711
merge,300,2334,2099,0.0042552947998046875
quick,300,1313,2360,0.0035448074340820312
dual_quick,300,1498,2199,0.004486799240112305
hybrid,300,2888,2827,0.003793478012084961
insert,300,23804,23800,0.03038311004638672
merge,300,2330,2098,0.0041120052337646484
quick,300,1449,2468,0.002629518508911133
dual_quick,300,1445,2365,0.003006458282470703
hybrid,300,2786,2734,0.003782987594604492
insert,300,22716,22712,0.033135414123535156
merge,300,2341,2101,0.008700132369995117
quick,300,1357,2442,0.004346609115600586
dual_quick,300,1732,2224,0.005742311477661133
hybrid,300,2816,2755,0.0038301944732666016
insert,300,24503,24496,0.032357215881347656
merge,300,2338,2112,0.0037925243377685547
quick,300,1507,2340,0.00626683235168457
dual_quick,300,1700,2364,0.003590106964111328
hybrid,300,2864,2805,0.006227731704711914
insert,400,42205,42198,0.06664204597473145
merge,400,3263,2933,0.0054776668548583984
quick,400,2173,3427,0.004538297653198242
dual_quick,400,2344,3233,0.005805015563964844
hybrid,400,3546,3440,0.0047304630279541016
insert,400,37833,37829,0.04944467544555664
merge,400,3282,2951,0.005357503890991211
quick,400,2032,3494,0.0033299922943115234
dual_quick,400,2357,3138,0.004536151885986328
hybrid,400,3489,3383,0.005095005035400391
insert,400,41778,41773,0.05125570297241211
merge,400,3274,2974,0.005238056182861328
quick,400,2064,3424,0.0033545494079589844
dual_quick,400,2433,3288,0.0049152374267578125
hybrid,400,3420,3314,0.004553318023681641
insert,400,39874,39868,0.05426955223083496
merge,400,3268,2963,0.005599021911621094
quick,400,2295,3760,0.003732442855834961
dual_quick,400,2194,3640,0.005112886428833008
hybrid,400,3456,3352,0.0046579837799072266
insert,400,40130,40125,0.05388951301574707
merge,400,3263,2962,0.005314350128173828
quick,400,2080,3579,0.0035758018493652344
dual_quick,400,2306,3606,0.005605459213256836
hybrid,400,3454,3336,0.004782676696777344
insert,500,61514,61505,0.07891559600830078
merge,500,4207,3877,0.006783485412597656
quick,500,2940,5105,0.005980014801025391
dual_quick,500,2637,4241,0.008623123168945312
hybrid,500,4847,4736,0.007197380065917969
insert,500,64210,64204,0.07890439033508301
merge,500,4183,3860,0.007029056549072266
quick,500,2275,4562,0.004242420196533203
dual_quick,500,2829,4457,0.005899906158447266
hybrid,500,4817,4705,0.00663447380065918
insert,500,61673,61668,0.07443952560424805
merge,500,4166,3867,0.006818532943725586
quick,500,3618,5424,0.005851030349731445
dual_quick,500,2815,4553,0.007014751434326172
hybrid,500,4779,4682,0.0064775943756103516
insert,500,62180,62173,0.0763242244720459
merge,500,4195,3856,0.010286808013916016
quick,500,2985,4714,0.009143829345703125
dual_quick,500,3177,4293,0.01031351089477539
hybrid,500,4811,4691,0.011464834213256836
insert,500,64066,64059,0.11013245582580566
merge,500,4198,3869,0.012725830078125
quick,500,2965,5045,0.00879526138305664
dual_quick,500,2738,4651,0.01065683364868164
hybrid,500,4847,4742,0.011922836303710938
insert,600,87305,87295,0.10834336280822754
merge,600,5227,4771,0.008375167846679688
quick,600,3906,6261,0.0081939697265625
dual_quick,600,3393,4733,0.006590604782104492
hybrid,600,6102,6008,0.008794546127319336
insert,600,96587,96579,0.11842966079711914
merge,600,5238,4813,0.008542776107788086
quick,600,3455,5942,0.006535530090332031
dual_quick,600,3559,4911,0.006564140319824219
hybrid,600,6127,6012,0.009667396545410156
insert,600,87063,87057,0.10448980331420898
merge,600,5235,4787,0.008664131164550781
quick,600,2985,5376,0.006256818771362305
dual_quick,600,3999,4952,0.008210182189941406
hybrid,600,6239,6123,0.009333372116088867
insert,600,94484,94480,0.12278938293457031
merge,600,5244,4793,0.008867263793945312
quick,600,3165,5891,0.005553007125854492
dual_quick,600,3653,5710,0.008531570434570312
hybrid,600,6312,6218,0.00862884521484375
insert,600,89197,89194,0.11300444602966309
merge,600,5271,4788,0.008841753005981445
quick,600,3559,6031,0.006331682205200195
dual_quick,600,3220,5438,0.006844520568847656
hybrid,600,6297,6184,0.010641813278198242
insert,700,121838,121833,0.14357948303222656
merge,700,6282,5754,0.010201692581176758
quick,700,4055,6806,0.007391691207885742
dual_quick,700,4283,6235,0.008660554885864258
hybrid,700,7659,7561,0.010402202606201172
insert,700,128733,128723,0.15438246726989746
merge,700,6266,5757,0.010731697082519531
quick,700,4229,7829,0.01258540153503418
